"increment","season","conc"
1,1,51.3188337023539
1,1,48.1547496576462
1,1,44.1385772982105
1,1,40.8541227426977
1,1,39.675801416137
1,1,35.7030637074015
1,1,51.5872850937402
1,1,49.7321479311605
1,1,46.0439808639013
1,1,44.2053146215069
1,1,39.727547250327
1,1,37.6728200835234
1,1,52.1838243020407
1,1,50.4557611148807
1,1,47.6487701476191
1,1,42.3535490764414
1,1,39.7171036162066
1,1,36.4692497182004
1,1,53.0777514124198
1,1,47.942257791425
1,1,46.4150597610237
1,1,43.0547726522423
1,1,40.9502806647324
1,1,37.2154723060433
1,1,49.6694800138978
1,1,47.6607312195389
1,1,46.4018007479362
1,1,41.9730692764399
1,1,37.9880752781812
1,1,34.8890064671832
1,1,53.0254135648268
1,1,47.8878050904224
1,1,44.9939252194692
1,1,41.3093426151618
1,1,38.6622629913575
1,1,37.0058937932673
1,1,50.9980448935668
1,1,48.6261175852518
1,1,45.2104043989145
1,1,42.2531226892409
1,1,38.933168935222
1,1,35.8051384123714
1,1,50.3545851325133
1,1,49.1360915500829
1,1,46.958537464735
1,1,44.3258424361083
1,1,40.3019713311893
1,1,35.6402179887737
1,1,53.6108171133589
1,1,48.1308694022449
1,1,44.986474848858
1,1,41.9074711643816
1,1,39.757707203211
1,1,35.2821368661054
1,1,51.7068701261471
1,1,48.183532683189
1,1,46.7042845019687
1,1,43.8360631839652
1,1,38.6029054980815
1,1,35.6550003177892
1,1,50.7821553563904
1,1,48.703227552805
1,1,45.233251769878
1,1,42.9988667743543
1,1,37.9569415395012
1,1,37.334447685865
1,1,50.7381999295327
1,1,48.1351224631952
1,1,45.769901902433
1,1,41.3570482344549
1,1,40.1415386088451
1,1,35.9954788249099
1,1,51.2906504961113
1,1,46.804421396156
1,1,46.0812537917156
1,1,43.0835769004715
1,1,41.1157045458403
1,1,36.6884685383027
1,1,51.9201332338211
1,1,47.7321705896117
1,1,45.8184777570801
1,1,41.3601403304035
1,1,40.7604700462374
1,1,35.0442921986307
1,1,51.3707143948244
1,1,48.9513436244643
1,1,45.3708929120921
1,1,41.4687086176784
1,1,38.7863724582577
1,1,36.7191629914512
1,1,51.0345824799209
1,1,48.4157991144005
1,1,45.1647073892185
1,1,40.5981132870437
1,1,39.3389774974633
1,1,37.2493013836225
1,1,52.4209013136565
1,1,47.6643751925272
1,1,45.0016320993656
1,1,43.2429239933882
1,1,40.4807502980815
1,1,36.4989148498993
1,1,51.9184706145274
1,1,48.8656013264173
1,1,44.0574798525651
1,1,43.7758191945645
1,1,41.6519480511454
1,1,36.6906361843978
1,1,52.8971580320551
1,1,50.4433717419685
1,1,45.2184614702692
1,1,42.0450358871822
1,1,39.5849883253829
1,1,38.3221240687859
1,1,51.1958655671353
1,1,49.241929022682
1,1,44.900542281716
1,1,44.5535590912915
1,1,40.3549170620466
1,1,36.4146801733736
1,1,51.836375497697
1,1,49.0756040959136
1,1,44.9904595312834
1,1,44.3326677623097
1,1,37.9120272384621
1,1,37.941229598501
1,1,51.0494648025477
1,1,46.1474803209808
1,1,45.2302507789177
1,1,41.5395553652833
1,1,39.7943366110573
1,1,37.2570283921788
1,1,50.9963212272685
1,1,47.6911011550664
1,1,45.353924165014
1,1,42.3933707469699
1,1,40.4559908511599
1,1,36.6658152134033
1,1,49.5102345329491
1,1,48.3074508282979
1,1,45.4793194064637
1,1,43.3198621988823
1,1,40.8187057000421
1,1,36.237275827254
1,1,51.78130529636
1,1,48.7635251164537
1,1,45.8145119728913
1,1,41.6538706265203
1,1,39.1295447932779
1,1,35.9856263221818
1,1,49.6055673370508
1,1,47.6737945319003
1,1,46.089621172629
1,1,42.665376563612
1,1,39.5381126487742
1,1,35.8936699321281
1,1,51.5547737466902
1,1,49.0116310329156
1,1,46.5243240014658
1,1,41.627706831709
1,1,40.0998897756338
1,1,38.1694355465559
1,1,52.4585227259036
1,1,49.6582147633137
1,1,45.3215907198829
1,1,42.7689478501819
1,1,38.6445448023697
1,1,35.6892156381694
1,1,50.8280794206295
1,1,51.0647248536742
1,1,44.6715549808217
1,1,43.367991638835
1,1,38.2778980205334
1,1,35.4989277843917
1,1,51.1519089731434
1,1,47.5697203820897
1,1,44.0898446118268
1,1,43.8503678548371
1,1,39.9748703761797
1,1,37.7516588628983
1,1,51.3084936452801
1,1,48.162956183869
1,1,44.8236860665354
1,1,41.8340008146986
1,1,41.4740731970259
1,1,36.7804155097387
1,1,50.9955389848059
1,1,48.3649562838202
1,1,45.5987563501048
1,1,42.7936039579333
1,1,40.5411515825391
1,1,36.6756432432598
1,1,51.7771978718134
1,1,49.2227753358178
1,1,46.9553959023924
1,1,41.9002284648016
1,1,40.7321434047689
1,1,35.3894798506308
1,1,53.0764159942106
1,1,48.6923860924378
1,1,45.5968719585144
1,1,43.3181946972604
1,1,40.6475664334999
1,1,36.662554188876
1,1,51.0013767226145
1,1,47.8591837628572
1,1,45.0927493273005
1,1,43.0015135107441
1,1,40.8985341131838
1,1,36.2389792031097
1,1,51.3398386076881
1,1,49.4250768998686
1,1,44.7216731788796
1,1,43.0825015766594
1,1,40.0058777427507
1,1,37.0117303243375
1,1,51.0379656096227
1,1,46.7222050700832
1,1,45.0637158260141
1,1,42.2201443005571
1,1,39.6793525542113
1,1,37.0903367536391
1,1,52.5648237619619
1,1,48.6691097699559
1,1,42.949354666097
1,1,43.2070032484165
1,1,38.3628259659004
1,1,35.7296848921799
1,1,50.5642188215018
1,1,48.5881295904508
1,1,42.5215113108122
1,1,42.7341160690485
1,1,39.4711022516146
1,1,36.4258754443631
1,1,52.0724223648892
1,1,47.7852241105698
1,1,47.1032013091617
1,1,42.6187492207143
1,1,39.9796301518365
1,1,36.2186057102672
1,1,53.4602768924162
1,1,47.5152473822576
1,1,46.3120160127369
1,1,43.2365159206005
1,1,39.2585086707279
1,1,36.4832714855042
1,1,53.1434900800643
1,1,48.929123848724
1,1,45.5575760999711
1,1,42.9794285915007
1,1,37.8737208566147
1,1,36.3863724087942
1,1,52.8059100010112
1,1,48.3711537943667
1,1,44.2468456459659
1,1,43.5142749854898
1,1,37.2140170807913
1,1,36.1786235980665
1,1,51.043170536937
1,1,47.810138940725
1,1,44.9361485226748
1,1,43.7748074832023
1,1,38.8277645644186
1,1,37.7116146001678
1,1,50.177577833983
1,1,48.2881334230578
1,1,45.8831301241951
1,1,43.1509565871436
1,1,39.8249171158326
1,1,36.4811698086897
1,1,51.0747949474097
1,1,49.3208735732435
1,1,45.9721516629646
1,1,42.9158619792616
1,1,40.4448383448435
1,1,38.1079301038533
1,1,52.2322259408813
1,1,49.6399559660719
1,1,45.7059638047505
1,1,40.6900657293101
1,1,39.787810558572
1,1,37.4502958174143
1,1,52.318439346278
